Place,Latitude,Longitude
Zinal,46.136287,7.6267982
Bishorn,46.1179218,7.7149611
Weisshorn,46.101233,7.7161432
Turtmanngletscher,46.1300429,7.696825103291154
Firn,31.05931195,-7.903509480403525
Cabane de Tracuit,46.13031065,7.6794150635639955
Wallis,52.2928116,-3.73893
Randa,46.1002792,7.782412
Nordgrat,46.6503259645893,7.648711411146766
Weißhorn,46.101233,7.7161432
Turtmanntal,46.226625674669584,7.7123798939415185
Brunegghorn,46.1257529,7.7458955
Sierre,46.2922522,7.5323195
Col de Tracuit,46.1307995,7.6782515
Bergen,60.3943055,5.3259192
Adlerflüe,46.1464169,7.7004257
Allalinhorn,46.0460858,7.8945842
Alpen,45.9081401,9.141582381412086
Col de Milon,46.1119962,7.6732856
Zermatt,46.0212076,7.749254
Wand,46.975060549999995,10.53405127288698
Cabane,11.7099178,-15.3809881
Brunegggletscher,46.1348962,7.721449443573769
Dom,46.0939293,7.8588713
Schweiz,46.7985624,8.2319736
Weges,51.723906299999996,10.024377961377631
Walliser,45.86449055,7.81155405810883
Roc de la Vache,46.1189247,7.6451894
Nebel,54.6516675,8.3536194
Mattertal,46.03539321834057,7.761014072782295
Tête de Milon,46.1185312,7.6903361
Tempo,54.3793317,-7.4594869
Berner Alpen,46.4324037,7.725489508388815
Zinalrothorn,46.0648271,7.6901238
Tracuit,46.2303025,7.5431131
